profile,method,mlWeight,rank,adaptiveScore,prerequisiteScore,historicalPerformanceScore,pedagogicalOrderScore,engagementScore,diagnosticWeaknessScore,masteryScore,averageAssessmentScore,completedLabsCount,tracesCount,profileType,recommendationType,success,candidateId,conceptName,mlSuccessProbability,relevance_label,simulatedProfile,rankingScore,combinedScore,generationTimeMs
BEGINNER_LOW_MASTERY,rule_based,0.0,1,0.67,0.5,0.4,0.91,0.49,1.0,18.75,42.29,1,7,NEEDS_REMEDIATION,REMEDIATION,0,candidate-135,Concept experimental 3,0.1997134763161896,1,BEGINNER_LOW_MASTERY,0.67,0.67,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,2,0.664,0.5,0.4,0.85,0.51,1.0,37.26,42.14,6,6,NEEDS_REMEDIATION,REMEDIATION,0,candidate-222,Concept experimental 6,0.15965743457096432,1,BEGINNER_LOW_MASTERY,0.664,0.664,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,3,0.643,0.5,0.4,0.8,0.38,1.0,33.46,38.55,3,7,NEEDS_REMEDIATION,REMEDIATION,0,candidate-010,Concept experimental 10,0.08363362685515259,1,BEGINNER_LOW_MASTERY,0.643,0.643,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,4,0.613,0.5,0.4,0.55,0.45,1.0,20.54,27.7,1,7,NEEDS_REMEDIATION,REMEDIATION,1,candidate-245,Concept experimental 5,0.22050071957360337,1,BEGINNER_LOW_MASTERY,0.613,0.613,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,5,0.612,0.5,0.4,0.51,0.5,1.0,31.02,25.7,4,6,NEEDS_REMEDIATION,REMEDIATION,0,candidate-054,Concept experimental 6,0.23038038621587062,1,BEGINNER_LOW_MASTERY,0.612,0.612,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,6,0.611,0.5,0.4,0.5,0.51,1.0,41.83,34.15,0,10,NEEDS_REMEDIATION,REMEDIATION,0,candidate-123,Concept experimental 3,0.07402007618811425,1,BEGINNER_LOW_MASTERY,0.611,0.611,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,7,0.607,0.5,0.4,0.66,0.23,1.0,25.32,27.14,3,25,NEEDS_REMEDIATION,REMEDIATION,0,candidate-157,Concept experimental 1,0.3667787705837797,1,BEGINNER_LOW_MASTERY,0.607,0.607,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,8,0.604,0.5,0.4,0.48,0.47,1.0,25.92,33.16,1,5,NEEDS_REMEDIATION,REMEDIATION,0,candidate-241,Concept experimental 1,0.15366727583295584,1,BEGINNER_LOW_MASTERY,0.604,0.604,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,9,0.583,0.5,0.4,0.36,0.44,1.0,30.42,45.95,6,1,NEEDS_REMEDIATION,REMEDIATION,1,candidate-221,Concept experimental 5,0.30479477429423313,1,BEGINNER_LOW_MASTERY,0.583,0.583,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,10,0.579,0.5,0.4,0.36,0.4,1.0,29.79,32.14,5,2,NEEDS_REMEDIATION,REMEDIATION,1,candidate-246,Concept experimental 6,0.5003883385754699,1,BEGINNER_LOW_MASTERY,0.579,0.579,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,11,0.575,0.5,0.4,0.3,0.45,1.0,25.78,23.39,2,3,NEEDS_REMEDIATION,REMEDIATION,0,candidate-168,Concept experimental 12,0.2717279042729307,1,BEGINNER_LOW_MASTERY,0.575,0.575,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,12,0.573,0.5,0.4,0.46,0.19,1.0,43.73,40.18,1,3,NEEDS_REMEDIATION,REMEDIATION,0,candidate-250,Concept experimental 10,0.11472240363972533,1,BEGINNER_LOW_MASTERY,0.573,0.573,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,13,0.561,0.5,0.4,0.2,0.46,1.0,19.56,43.79,3,7,NEEDS_REMEDIATION,REMEDIATION,0,candidate-140,Concept experimental 8,0.410172508252894,1,BEGINNER_LOW_MASTERY,0.561,0.561,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,14,0.56,0.5,0.4,0.21,0.44,1.0,30.76,44.33,6,2,NEEDS_REMEDIATION,REMEDIATION,0,candidate-243,Concept experimental 3,0.2769189269715619,1,BEGINNER_LOW_MASTERY,0.56,0.56,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,15,0.559,0.5,0.4,0.28,0.32,1.0,39.18,46.63,3,4,NEEDS_REMEDIATION,REMEDIATION,1,candidate-159,Concept experimental 3,0.4151413654007378,1,BEGINNER_LOW_MASTERY,0.559,0.559,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,16,0.557,0.5,0.4,0.28,0.3,1.0,44.35,51.28,4,4,NEEDS_REMEDIATION,REMEDIATION,0,candidate-202,Concept experimental 10,0.23678728530844295,1,BEGINNER_LOW_MASTERY,0.557,0.557,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,17,0.553,0.5,0.4,0.25,0.31,1.0,22.44,51.3,2,8,NEEDS_REMEDIATION,REMEDIATION,1,candidate-218,Concept experimental 2,0.5569791429210621,1,BEGINNER_LOW_MASTERY,0.553,0.553,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,18,0.54,0.5,0.4,0.22,0.22,1.0,31.29,44.35,7,9,NEEDS_REMEDIATION,REMEDIATION,1,candidate-060,Concept experimental 12,0.3637846823565871,1,BEGINNER_LOW_MASTERY,0.54,0.54,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,19,0.494,0.0,0.4,0.94,0.43,1.0,36.15,50.07,2,3,NEEDS_REMEDIATION,REMEDIATION,0,candidate-035,Concept experimental 11,0.06718846814733136,1,BEGINNER_LOW_MASTERY,0.494,0.494,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,20,0.493,0.0,0.4,0.91,0.47,1.0,35.05,54.54,2,9,NEEDS_REMEDIATION,REMEDIATION,0,candidate-016,Concept experimental 4,0.08937208550692394,1,BEGINNER_LOW_MASTERY,0.493,0.493,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,21,0.482,0.0,0.4,0.86,0.43,1.0,22.33,45.09,3,18,NEEDS_REMEDIATION,REMEDIATION,0,candidate-021,Concept experimental 9,0.18093368778417598,1,BEGINNER_LOW_MASTERY,0.482,0.482,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,22,0.481,0.0,0.4,0.83,0.47,1.0,21.45,38.22,0,5,NEEDS_REMEDIATION,REMEDIATION,1,candidate-014,Concept experimental 2,0.3805438779362264,1,BEGINNER_LOW_MASTERY,0.481,0.481,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,23,0.48,0.0,0.4,0.91,0.33,1.0,23.54,28.78,6,23,NEEDS_REMEDIATION,REMEDIATION,0,candidate-127,Concept experimental 7,0.3536867305563836,1,BEGINNER_LOW_MASTERY,0.48,0.48,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,24,0.478,0.0,0.4,0.86,0.39,1.0,35.73,51.14,5,25,NEEDS_REMEDIATION,REMEDIATION,0,candidate-149,Concept experimental 5,0.04596343170257431,1,BEGINNER_LOW_MASTERY,0.478,0.478,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,25,0.477,0.0,0.4,0.84,0.41,1.0,38.08,50.4,2,11,NEEDS_REMEDIATION,REMEDIATION,0,candidate-033,Concept experimental 9,0.013640337516352439,1,BEGINNER_LOW_MASTERY,0.477,0.477,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,26,0.474,0.0,0.4,0.77,0.49,1.0,20.84,23.0,4,2,NEEDS_REMEDIATION,REMEDIATION,0,candidate-240,Concept experimental 12,0.3819506352307015,1,BEGINNER_LOW_MASTERY,0.474,0.474,2.8746000000001715
BEGINNER_LOW_MASTERY,rule_based,0.0,27,0.472,0.0,0.4,0.82,0.39,1.0,29.33,34.91,3,9,NEEDS_REMEDIATION,REMEDIATION,0,candidate-117,Concept experimental 9,0.08294748142163874,1,BEGINNER_LOW_MASTERY,0.472,0.472,2.8746000000001715
