adaptiveScore,prerequisiteScore,historicalPerformanceScore,pedagogicalOrderScore,engagementScore,diagnosticWeaknessScore,masteryScore,averageAssessmentScore,completedLabsCount,tracesCount,profileType,recommendationType,success
0.698,0.5,0.7,0.66,0.69,1.0,64.22,67.41,6,25,PROGRESSING,REMEDIATION,0
0.402,0.0,0.4,0.27,0.52,1.0,37.15,27.15,3,4,NEEDS_REMEDIATION,REMEDIATION,0
0.615,0.5,0.7,0.64,0.64,0.7,73.18,61.24,0,13,PROGRESSING,NORMAL_PROGRESS,0
0.592,0.5,0.7,0.42,0.74,0.7,61.39,76.51,0,15,PROGRESSING,NORMAL_PROGRESS,0
0.632,1.0,0.4,0.68,0.45,0.3,65.48,56.29,1,16,PROGRESSING,REMEDIATION,0
0.694,1.0,1.0,0.27,0.78,0.3,82.4,84.95,11,13,HIGH_PERFORMING,VALIDATION,1
0.681,0.5,1.0,0.74,0.7,0.7,79.73,80.87,1,11,PROGRESSING,REMEDIATION,1
0.655,0.5,0.7,0.89,0.66,0.7,71.44,77.5,6,18,PROGRESSING,REMEDIATION,1
0.398,0.0,0.4,0.33,0.39,1.0,20.98,51.31,1,5,NEEDS_REMEDIATION,REMEDIATION,1
0.643,0.5,0.4,0.8,0.38,1.0,33.46,38.55,3,7,NEEDS_REMEDIATION,REMEDIATION,0
0.643,0.5,0.7,0.4,0.53,1.0,75.71,67.06,1,18,PROGRESSING,REMEDIATION,0
0.661,1.0,0.7,0.49,0.58,0.3,69.48,71.19,5,23,PROGRESSING,REMEDIATION,0
0.472,0.0,0.4,0.88,0.3,1.0,48.19,57.83,0,7,NEEDS_REMEDIATION,REMEDIATION,1
0.481,0.0,0.4,0.83,0.47,1.0,21.45,38.22,0,5,NEEDS_REMEDIATION,REMEDIATION,1
0.662,1.0,0.7,0.52,0.54,0.3,54.75,61.19,1,21,PROGRESSING,NORMAL_PROGRESS,1
0.493,0.0,0.4,0.91,0.47,1.0,35.05,54.54,2,9,NEEDS_REMEDIATION,REMEDIATION,0
0.458,0.0,0.4,0.84,0.22,1.0,34.06,27.39,3,3,NEEDS_REMEDIATION,REMEDIATION,1
0.492,0.0,0.4,0.88,0.5,1.0,50.83,46.11,2,1,NEEDS_REMEDIATION,REMEDIATION,1
0.651,0.5,1.0,0.49,0.78,0.7,93.27,80.82,8,20,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.47,0.0,0.4,0.87,0.29,1.0,19.32,53.8,5,1,NEEDS_REMEDIATION,REMEDIATION,0
0.482,0.0,0.4,0.86,0.43,1.0,22.33,45.09,3,18,NEEDS_REMEDIATION,REMEDIATION,0
0.731,1.0,1.0,0.5,0.81,0.3,82.38,83.48,8,23,HIGH_PERFORMING,VALIDATION,1
0.651,1.0,0.7,0.31,0.75,0.3,70.26,70.1,4,17,PROGRESSING,NORMAL_PROGRESS,0
0.633,1.0,0.7,0.29,0.6,0.3,52.73,71.61,1,16,PROGRESSING,NORMAL_PROGRESS,0
0.705,0.5,1.0,0.72,0.97,0.7,96.86,90.36,6,26,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.37,0.0,0.4,0.23,0.25,1.0,48.19,36.67,4,20,NEEDS_REMEDIATION,REMEDIATION,0
0.77,1.0,1.0,0.76,0.81,0.3,87.63,88.17,6,11,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.447,0.0,0.4,0.78,0.2,1.0,38.06,43.96,7,15,NEEDS_REMEDIATION,REMEDIATION,0
0.502,0.5,0.7,0.52,0.69,0.3,68.76,74.07,0,17,PROGRESSING,NORMAL_PROGRESS,0
0.683,0.5,0.7,0.46,0.84,1.0,66.61,71.75,3,13,PROGRESSING,REMEDIATION,1
0.699,1.0,0.7,0.68,0.67,0.3,53.06,60.71,6,26,PROGRESSING,NORMAL_PROGRESS,0
0.597,0.5,0.4,0.89,0.53,0.7,64.13,58.97,6,18,PROGRESSING,NORMAL_PROGRESS,1
0.477,0.0,0.4,0.84,0.41,1.0,38.08,50.4,2,11,NEEDS_REMEDIATION,REMEDIATION,0
0.743,1.0,1.0,0.56,0.84,0.3,95.66,97.16,8,18,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.494,0.0,0.4,0.94,0.43,1.0,36.15,50.07,2,3,NEEDS_REMEDIATION,REMEDIATION,0
0.465,0.0,0.4,0.68,0.53,1.0,41.21,22.69,6,17,NEEDS_REMEDIATION,REMEDIATION,0
0.51,0.5,0.7,0.63,0.61,0.3,77.92,64.13,5,9,PROGRESSING,NORMAL_PROGRESS,1
0.436,0.0,0.4,0.67,0.26,1.0,35.75,20.86,0,10,NEEDS_REMEDIATION,REMEDIATION,0
0.679,0.5,0.7,0.61,0.57,1.0,62.0,72.42,5,8,PROGRESSING,REMEDIATION,0
0.712,1.0,1.0,0.31,0.91,0.3,83.79,97.01,3,10,HIGH_PERFORMING,VALIDATION,1
0.577,0.5,0.4,0.42,0.29,1.0,47.45,49.39,3,5,NEEDS_REMEDIATION,REMEDIATION,0
0.655,0.5,1.0,0.45,0.88,0.7,96.66,83.27,5,9,HIGH_PERFORMING,VALIDATION,1
0.62,0.5,0.7,0.23,0.55,1.0,81.45,77.4,6,22,PROGRESSING,REMEDIATION,1
0.707,0.5,1.0,0.89,0.74,0.7,60.69,80.12,4,13,PROGRESSING,REMEDIATION,0
0.722,1.0,1.0,0.32,0.99,0.3,91.75,93.32,11,11,HIGH_PERFORMING,VALIDATION,1
0.795,1.0,1.0,0.88,0.88,0.3,87.22,92.55,12,25,HIGH_PERFORMING,VALIDATION,1
0.465,0.0,0.4,0.76,0.41,1.0,34.96,49.5,0,25,NEEDS_REMEDIATION,REMEDIATION,0
0.642,1.0,0.7,0.44,0.46,0.3,70.05,76.7,6,15,PROGRESSING,NORMAL_PROGRESS,0
0.758,1.0,1.0,0.69,0.79,0.3,83.14,84.2,5,14,HIGH_PERFORMING,NORMAL_PROGRESS,1
0.804,1.0,1.0,0.91,0.93,0.3,94.7,97.28,7,13,HIGH_PERFORMING,VALIDATION,1
0.476,0.5,0.7,0.46,0.52,0.3,59.85,68.29,5,23,PROGRESSING,NORMAL_PROGRESS,0
0.402,0.0,0.4,0.38,0.35,1.0,41.57,57.63,2,17,NEEDS_REMEDIATION,REMEDIATION,0
0.595,1.0,0.4,0.31,0.63,0.3,58.4,59.23,0,20,PROGRESSING,REMEDIATION,0
0.612,0.5,0.4,0.51,0.5,1.0,31.02,25.7,4,6,NEEDS_REMEDIATION,REMEDIATION,0
0.655,0.5,0.7,0.82,0.77,0.7,73.38,72.39,7,13,PROGRESSING,REMEDIATION,1
